,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
217,APP,APLP2,Ductal cell type 1,Ductal cell type 1,1.6716439,0.0,Ligand,Receptor,APP,APLP2,1.6716439
219,TIMP3,CD44,Endothelial cell,Fibroblast cell,1.6681546,0.0,Ligand,Receptor,TIMP3,CD44,1.6681546
220,CALM2,INSR,Stellate cell,Acinar cell,1.6672513,0.0,Ligand,Receptor,CALM2,INSR,1.6672513
221,TIMP1,CD63,Stellate cell,Stellate cell,1.6621579,0.001,Ligand,Receptor,TIMP1,CD63,1.6621579
222,TIMP3,DDR1,Endothelial cell,Ductal cell type 1,1.6616117,0.0,Ligand,Receptor,TIMP3,DDR1,1.6616117
223,CALM2,MYLK,Fibroblast cell,Stellate cell,1.6554015,0.0,Ligand,Receptor,CALM2,MYLK,1.6554015
224,C3,CD81,Fibroblast cell,Fibroblast cell,1.6550031,0.0,Ligand,Receptor,C3,CD81,1.6550031
225,FBLN1,ITGB1,Fibroblast cell,Acinar cell,1.6485865,0.0,Ligand,Receptor,FBLN1,ITGB1,1.6485865
227,SHANK2,CFTR,Ductal cell type 1,Ductal cell type 1,1.641868,0.0,Ligand,Receptor,SHANK2,CFTR,1.641868
228,CXCL12,ITGB1,Fibroblast cell,Ductal cell type 1,1.6405573,0.0,Ligand,Receptor,CXCL12,ITGB1,1.6405573
229,HSP90AA1,EGFR,Ductal cell type 1,Ductal cell type 1,1.6397326,0.0,Ligand,Receptor,HSP90AA1,EGFR,1.6397326
231,HSP90AA1,EGFR,Ductal cell type 1,Stellate cell,1.6341467,0.001,Ligand,Receptor,HSP90AA1,EGFR,1.6341467
232,COL1A2,CD36,Fibroblast cell,Endothelial cell,1.6338876,0.0,Ligand,Receptor,COL1A2,CD36,1.6338876
233,SERPINE1,LRP1,Fibroblast cell,Fibroblast cell,1.6335883,0.0,Ligand,Receptor,SERPINE1,LRP1,1.6335883
